name,NetMF_1,NetMF_2,NetMF_3,NetMF_4,NetMF_5,NetMF_6,NetMF_7,NetMF_8,NetMF_9,NetMF_10,NetMF_11,NetMF_12,NetMF_13,NetMF_14,NetMF_15,NetMF_16,NetMF_17,NetMF_18,NetMF_19,NetMF_20,NetMF_21,NetMF_22,NetMF_23,NetMF_24,NetMF_25,NetMF_26,NetMF_27,NetMF_28,NetMF_29,NetMF_30,NetMF_31,NetMF_32
ENSG00000196411,507.0147,135.8771,88.72005,59.131462,56.21775,-34.540962,-17.03735,14.451089,1.9317219,-4.9663825,0.31635502,0.31308225,-10.300035,-24.258087,0.11043669,33.508766,-16.329878,21.696352,-19.221878,-17.023357,-1.6776668,-1.9812863,-42.520977,-1.1609974,-1.650671,-9.429646,-0.24773666,-9.760668,-5.7134404,-12.002322,6.4126554,-4.1199217
ENSG00000106617,455.36743,-62.350964,6.3557534,-45.96099,77.02541,6.076338,-21.506691,-16.548597,-57.34616,-11.203053,-12.269938,-10.646444,9.427657,-11.581399,-47.880062,8.172663,3.3659067,-20.557547,2.3862166,-17.752941,-0.29153356,2.7485135,-9.605896,28.124962,-5.2829385,-20.47078,29.319862,8.473582,9.321348,-15.366229,3.418183,-4.576277
ENSG00000197122,726.3963,5.5590262,38.236824,153.78879,-23.79956,12.41134,-2.0379908,38.973305,-31.371786,16.951693,-17.862425,11.39144,42.04817,60.62212,11.214202,13.1898155,-24.305624,23.06704,-8.085527,-15.902116,-3.8051305,5.867533,-38.544746,26.920055,-5.055574,15.488309,-0.030975938,-10.9935465,-2.1895819,2.1176276,3.619952,11.162001
ENSG00000106683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107643,649.9691,38.09911,34.29186,147.66013,-13.668974,-16.325163,3.6716537,-26.878807,-10.608427,31.288479,-3.8611042,30.00222,-5.897188,-4.7243824,6.07681,8.684481,-13.318932,1.6326576,9.66365,-2.3287637,-3.9939659,-1.0823641,-39.47667,22.911732,4.9322724,4.028057,-11.963135,-2.3656478,4.59386,-5.3234663,-6.6834517,-15.019089
ENSG00000248099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107779,495.51187,-41.236763,104.11505,49.54277,-0.5592758,-48.882786,-3.4929087,2.9245834,18.456198,29.159546,-21.226723,40.628544,6.327336,-20.157202,33.641365,5.537299,21.088825,2.9507773,-29.222912,4.9643283,3.679117,37.280678,-8.265238,20.302364,3.9066994,-39.015156,10.231583,13.150399,-4.6230493,-19.982452,10.324139,2.2281463
ENSG00000254087,662.8176,-59.83185,94.69193,116.59293,6.454363,-10.394361,21.399517,56.42489,-33.282684,29.462076,-20.977774,-6.056269,49.963444,59.82396,11.808098,-7.1876693,-3.3108275,25.427135,5.0127573,-15.920166,0.6426856,-3.6266317,-8.815321,-13.060225,-6.754451,35.974514,10.3997755,-13.834115,1.0104147,-11.02878,-3.5428643,0.72517115
ENSG00000107968,632.78186,-82.877945,-21.536003,67.670166,-55.10401,-24.157288,-45.85923,-21.525753,-35.345898,24.014267,-36.92888,-11.87931,53.26087,-34.044247,37.2864,40.763466,-32.65027,-22.859354,35.873466,-14.046854,3.6454456,-6.0402007,18.541117,9.996285,-6.1483965,8.200121,-33.987278,17.619259,4.3571434,-23.455614,2.3084042,-6.7108035
