,source,target
1068656,PCCA,PAICS
1068657,RAE1,RAD54L2
1068658,POLR2F,NDUFA9
1068659,PEPD,AGXT
1068660,HINT1,CDK7
1068661,BUB3,PINX1
1068662,DAP3,ATP13A1
1068663,HSPA2,CWC15
1068664,DLD,DDX27
1068665,PSMD12,NDUFS1
1068666,ACAD11,RMDN1
1068667,VPS16,PIKFYVE
1068668,PRMT5,PGD
1068669,FAH,ADSL
1068670,HRAS,PHB
1068671,SND1,VPS16
1068672,RPS2,PRMT8
1068673,SEC13,PINX1
1068674,ATP5F1B,RPL21
1068675,POLR1D,DDX17
1068676,POLR1D,DDX17
1068677,NHP2,NIP7
1068678,COPE,MRPL49
1068679,DDX39A,D2HGDH
1068680,GPD2,TPI1
1068681,SF3B2,GCN1
1068682,CAPZB,WASHC4
1068683,CAPZB,ACTR1A
1068684,UBA52,RSL24D1
1068685,RPL28,RPS21
1068686,PSMD4,STOML2
1068687,ACOX3,ACAD11
1068688,NUDT19,FPGS
1068689,ATP5PD,RPS29
1068690,NDUFB10,DLST
1068691,UQCRB,NDUFA9
1068692,NARS1,SNF8
1068693,CMPK2,ITPA
1068694,NACA,PSMC6
1068695,PSMC6,NACA
1068696,AHCY,ALDH6A1
1068697,SF3B1,CHERP
1068698,SF3B1,DYNC1H1
1068699,NUP98,NUP205
1068700,PCCA,SELENBP1
1068701,CSNK2B,RNF20
1068702,ATP5F1B,RPS17
1068703,NDUFA6,DPP7
1068704,ZRANB2,SSB
1068705,RPS15,RSL24D1
1068706,BANF1,SSB
1068707,MPC2,UQCRB
1068708,HSPD1,SF3B2
1068709,DARS1,RPS15
1068710,RMDN1,PPIL1
1068711,AGXT,ALDH7A1
1068712,PAFAH1B1,NUP98
1068713,RPS18,RSL24D1
1068714,RPS11,RSL24D1
1068715,COPE,PTGES2
1068716,RPL31,RSL24D1
1068717,DLAT,NDUFB9
1068718,CYC1,NDUFB9
1068719,PSMB4,ACAD8
1068720,NAA20,VBP1
1068721,DPH2,URM1
1068722,NDUFS8,DLD
1068723,NDUFB4,PSMD2
1068724,PSMD14,BTF3
1068725,NACA,PSMD12
1068726,PSMD12,NACA
1068727,CAD,VPS35
1068728,DNAJA2,HSPE1
1068729,EEF2,URM1
1068730,CDC45,WDR74
1068731,RPL35A,DICER1
1068732,DDX39A,GMPS
1068733,NEDD8,PHPT1
1068734,RACK1,ZWILCH
1068735,DIEXF,PHF5A
1068736,RPS15,CMPK2
1068737,NDUFS8,PSMD5
1068738,POLR1C,ACTR2
1068739,TRMT1L,N6AMT1
1068740,NDUFAB1,NDUFB10
1068741,FAU,RPL19
1068742,HSPA2,RPS20
1068743,ENDOG,POLR1H
1068744,ATP5PD,RPL14
1068745,POLR2F,MRPL17
1068746,PDCD11,DBR1
1068747,RPL28,RPS7
1068748,RFC1,PSMC6
1068749,IDH3A,SNF8
1068750,ISCU,NFU1
1068751,EEF2,RPS26
1068752,HSPD1,LSM5
1068753,PDCD6,WARS1
1068754,PMPCB,STXBP1
1068755,RPS2,MRPL43
1068756,ATP5F1D,RPL8
1068757,SPTLC1,STOML2
1068758,SUOX,D2HGDH
